barrier_sequence,sequence_length,barrier_changes,reward_path_lengths,choice_points
"[frozenset({np.int64(34), np.int64(36), np.int64(37), np.int64(39), np.int64(10), np.int64(45), np.int64(14), np.int64(15), np.int64(20)}), frozenset({34, 37, 39, 10, 45, 14, 15, 20, 26}), frozenset({34, 37, 39, 10, 45, 14, 15, 25, 26}), frozenset({34, 37, 10, 45, 14, 15, 19, 25, 26}), frozenset({34, 37, 10, 45, 14, 15, 19, 25, 30}), frozenset({34, 37, 10, 45, 14, 15, 25, 27, 30}), frozenset({34, 37, 10, 45, 14, 15, 24, 25, 27}), frozenset({34, 37, 10, 42, 45, 14, 15, 24, 25}), frozenset({34, 37, 10, 42, 45, 14, 15, 25, 31})]",9,"[[np.int64(36), 26], [20, 25], [39, 19], [26, 30], [19, 27], [30, 24], [27, 42], [24, 31]]","[[17, 21, 19], [19, 21, 17], [19, 15, 17], [19, 17, 15], [17, 17, 21], [19, 15, 21], [19, 21, 15], [17, 21, 17], [17, 15, 19]]","[{21}, {30}, {24}, {35}, {16}, {16}, {36}, {26}, {16}]"
"[frozenset({np.int64(34), np.int64(37), np.int64(40), np.int64(10), np.int64(46), np.int64(15), np.int64(14), np.int64(25), np.int64(30)}), frozenset({34, 37, 40, 10, 46, 15, 14, 17, 25}), frozenset({34, 37, 40, 10, 46, 15, 14, 20, 25}), frozenset({32, 34, 37, 40, 10, 14, 15, 20, 25}), frozenset({32, 34, 37, 40, 10, 14, 15, 25, 29}), frozenset({32, 34, 37, 40, 10, 14, 15, 17, 25})]",6,"[[np.int64(30), 17], [17, 20], [46, 32], [20, 29], [29, 17]]","[[17, 15, 19], [21, 15, 19], [17, 23, 19], [19, 23, 17], [19, 15, 21], [19, 15, 17]]","[{16}, {24}, {26}, {36}, {16}, {24}]"
"[frozenset({np.int64(34), np.int64(37), np.int64(10), np.int64(45), np.int64(14), np.int64(15), np.int64(24), np.int64(25), np.int64(27)}), frozenset({34, 37, 10, 42, 45, 14, 15, 24, 25}), frozenset({34, 37, 10, 42, 44, 45, 14, 15, 25}), frozenset({34, 37, 10, 44, 45, 14, 15, 13, 25}), frozenset({34, 37, 10, 45, 14, 13, 15, 25, 28}), frozenset({34, 37, 10, 45, 14, 15, 25, 28, 30}), frozenset({34, 37, 10, 45, 14, 15, 25, 27, 30})]",7,"[[np.int64(27), 42], [24, 44], [42, 13], [44, 28], [13, 30], [28, 27]]","[[19, 21, 15], [17, 21, 17], [17, 15, 19], [19, 15, 17], [19, 17, 15], [17, 17, 21], [19, 15, 21]]","[{36}, {26}, {16, 24, 26}, {24}, {35}, {16}, {16}]"
"[frozenset({np.int64(34), np.int64(37), np.int64(41), np.int64(10), np.int64(14), np.int64(17), np.int64(18), np.int64(19), np.int64(25)}), frozenset({34, 37, 41, 10, 14, 18, 19, 25, 29}), frozenset({34, 37, 41, 10, 14, 18, 19, 25, 30}), frozenset({34, 37, 7, 41, 10, 18, 19, 25, 30}), frozenset({34, 37, 7, 41, 10, 18, 19, 25, 29}), frozenset({34, 37, 7, 41, 10, 18, 19, 21, 29})]",6,"[[np.int64(17), 29], [29, 30], [14, 7], [30, 29], [25, 21]]","[[21, 17, 17], [17, 21, 17], [17, 17, 21], [15, 19, 21], [15, 19, 17], [21, 19, 17]]","[{35}, {26}, {16}, {17}, {26}, {30}]"
"[frozenset({np.int64(34), np.int64(37), np.int64(42), np.int64(45), np.int64(13), np.int64(14), np.int64(18), np.int64(19), np.int64(25)}), frozenset({34, 37, 7, 42, 13, 45, 18, 19, 25}), frozenset({34, 37, 7, 45, 13, 18, 19, 25, 27}), frozenset({34, 37, 11, 45, 13, 18, 19, 25, 27}), frozenset({34, 37, 11, 45, 13, 18, 19, 27, 30}), frozenset({34, 37, 9, 13, 45, 18, 19, 27, 30})]",6,"[[np.int64(14), 7], [42, 27], [7, 11], [25, 30], [11, 9]]","[[21, 17, 17], [15, 19, 17], [17, 19, 15], [19, 17, 15], [19, 17, 21], [17, 19, 21]]","[{35}, {26}, {36}, {35}, {20}, {21}]"
"[frozenset({np.int64(34), np.int64(37), np.int64(41), np.int64(10), np.int64(14), np.int64(15), np.int64(17), np.int64(19), np.int64(25)}), frozenset({34, 37, 41, 10, 14, 15, 19, 25, 31}), frozenset({34, 37, 41, 10, 14, 15, 19, 25, 29}), frozenset({34, 37, 41, 10, 44, 14, 15, 25, 29}), frozenset({34, 37, 41, 10, 44, 14, 15, 17, 25}), frozenset({34, 37, 41, 10, 44, 14, 15, 20, 25})]",6,"[[np.int64(17), 31], [31, 29], [19, 44], [29, 17], [17, 20]]","[[21, 17, 17], [17, 17, 21], [17, 21, 17], [17, 15, 19], [21, 15, 19], [17, 23, 19]]","[{35}, {16}, {26}, {16}, {24}, {26}]"
"[frozenset({np.int64(34), np.int64(37), np.int64(7), np.int64(10), np.int64(45), np.int64(19), np.int64(22), np.int64(25), np.int64(29)}), frozenset({34, 37, 7, 10, 45, 19, 22, 25, 26}), frozenset({34, 37, 7, 10, 45, 19, 22, 25, 30}), frozenset({34, 37, 10, 11, 45, 19, 22, 25, 30}), frozenset({34, 37, 10, 11, 45, 19, 21, 22, 25}), frozenset({34, 37, 10, 11, 45, 19, 20, 22, 25})]",6,"[[np.int64(29), 26], [26, 30], [7, 11], [30, 21], [21, 20]]","[[17, 19, 15], [21, 19, 15], [17, 19, 23], [19, 17, 23], [19, 17, 15], [19, 21, 15]]","[{36}, {35}, {17}, {16}, {35}, {36}]"
"[frozenset({np.int64(34), np.int64(37), np.int64(40), np.int64(10), np.int64(12), np.int64(18), np.int64(20), np.int64(25), np.int64(27)}), frozenset({34, 35, 37, 40, 10, 12, 18, 25, 27}), frozenset({34, 37, 40, 10, 12, 18, 25, 27, 31}), frozenset({34, 37, 40, 10, 42, 12, 18, 25, 31}), frozenset({34, 37, 40, 10, 42, 12, 18, 21, 25}), frozenset({34, 37, 40, 10, 42, 12, 18, 20, 25})]",6,"[[np.int64(20), 35], [35, 31], [27, 42], [31, 21], [21, 20]]","[[17, 21, 17], [17, 17, 21], [21, 17, 17], [15, 17, 19], [23, 17, 19], [15, 21, 19]]","[{36}, {17}, {24}, {17}, {24}, {26}]"
"[frozenset({np.int64(34), np.int64(37), np.int64(39), np.int64(41), np.int64(10), np.int64(12), np.int64(18), np.int64(20), np.int64(25)}), frozenset({34, 37, 39, 41, 10, 12, 18, 25, 31}), frozenset({34, 37, 39, 41, 10, 12, 18, 21, 25}), frozenset({34, 37, 41, 10, 12, 18, 21, 25, 28}), frozenset({34, 37, 41, 10, 12, 18, 25, 28, 31}), frozenset({34, 37, 41, 10, 12, 18, 20, 25, 28})]",6,"[[np.int64(20), 31], [31, 21], [39, 28], [21, 31], [31, 20]]","[[15, 21, 19], [15, 17, 19], [23, 17, 19], [23, 19, 17], [15, 19, 21], [15, 19, 17]]","[{26}, {17}, {24}, {35}, {17}, {26}]"
"[frozenset({np.int64(35), np.int64(37), np.int64(7), np.int64(40), np.int64(14), np.int64(20), np.int64(27), np.int64(28), np.int64(31)}), frozenset({37, 7, 40, 14, 20, 25, 27, 28, 31}), frozenset({37, 7, 40, 14, 15, 20, 25, 27, 28}), frozenset({37, 7, 40, 46, 14, 15, 20, 25, 28}), frozenset({37, 7, 40, 14, 46, 20, 25, 28, 30}), frozenset({37, 7, 40, 46, 14, 17, 20, 25, 28})]",6,"[[np.int64(35), 25], [31, 15], [27, 46], [15, 30], [30, 17]]","[[17, 17, 23], [21, 17, 15], [17, 19, 15], [15, 19, 17], [15, 17, 21], [23, 17, 17]]","[{13}, {29}, {36}, {26}, {13}, {29}]"
"[frozenset({np.int64(34), np.int64(37), np.int64(9), np.int64(10), np.int64(41), np.int64(13), np.int64(18), np.int64(19), np.int64(25)}), frozenset({34, 37, 8, 41, 10, 13, 18, 19, 25}), frozenset({34, 37, 8, 41, 10, 18, 19, 24, 25}), frozenset({34, 37, 8, 41, 10, 18, 19, 25, 31}), frozenset({34, 37, 7, 41, 10, 18, 19, 25, 31}), frozenset({34, 37, 7, 41, 10, 18, 19, 21, 25})]",6,"[[np.int64(9), 8], [13, 24], [24, 31], [8, 7], [31, 21]]","[[15, 19, 17], [21, 17, 17], [17, 21, 17], [17, 17, 21], [15, 19, 21], [23, 19, 17]]","[{26}, {35}, {26}, {16}, {17}, {35}]"
"[frozenset({np.int64(34), np.int64(36), np.int64(7), np.int64(40), np.int64(10), np.int64(15), np.int64(18), np.int64(25), np.int64(31)}), frozenset({34, 36, 8, 40, 10, 15, 18, 25, 31}), frozenset({32, 34, 8, 40, 10, 15, 18, 25, 31}), frozenset({32, 34, 8, 40, 10, 15, 18, 20, 31}), frozenset({34, 36, 8, 40, 10, 15, 18, 20, 31})]",5,"[[np.int64(7), 8], [36, 32], [25, 20], [32, 36]]","[[15, 17, 19], [17, 15, 19], [19, 15, 17], [19, 21, 17], [17, 21, 19]]","[{17}, {16}, {24}, {30}, {21}]"
"[frozenset({np.int64(34), np.int64(37), np.int64(41), np.int64(10), np.int64(14), np.int64(15), np.int64(19), np.int64(25), np.int64(31)}), frozenset({34, 37, 41, 10, 14, 15, 17, 19, 25}), frozenset({34, 37, 39, 41, 10, 14, 15, 17, 25}), frozenset({34, 37, 39, 41, 10, 14, 15, 20, 25}), frozenset({34, 37, 39, 41, 10, 14, 15, 25, 29}), frozenset({34, 37, 41, 10, 14, 15, 25, 28, 29})]",6,"[[np.int64(31), 17], [19, 39], [17, 20], [20, 29], [39, 28]]","[[17, 17, 21], [21, 17, 17], [21, 15, 19], [17, 23, 19], [17, 15, 19], [17, 21, 17]]","[{16}, {35}, {24}, {26}, {16}, {26}]"
"[frozenset({np.int64(34), np.int64(35), np.int64(37), np.int64(40), np.int64(10), np.int64(12), np.int64(18), np.int64(22), np.int64(25)}), frozenset({34, 37, 40, 10, 12, 18, 22, 25, 31}), frozenset({34, 37, 40, 10, 42, 12, 18, 25, 31}), frozenset({34, 37, 40, 10, 42, 12, 18, 21, 25}), frozenset({34, 37, 40, 10, 42, 12, 18, 20, 25}), frozenset({34, 37, 40, 10, 12, 18, 20, 25, 27})]",6,"[[np.int64(35), 31], [22, 42], [31, 21], [21, 20], [42, 27]]","[[17, 17, 21], [21, 17, 17], [15, 17, 19], [23, 17, 19], [15, 21, 19], [17, 21, 17]]","[{17}, {24}, {17}, {24}, {26}, {36}]"
"[frozenset({np.int64(34), np.int64(36), np.int64(37), np.int64(39), np.int64(41), np.int64(10), np.int64(14), np.int64(15), np.int64(25)}), frozenset({34, 37, 39, 41, 10, 14, 15, 20, 25}), frozenset({34, 37, 39, 41, 10, 14, 15, 17, 25}), frozenset({34, 37, 41, 10, 14, 15, 17, 19, 25}), frozenset({34, 37, 41, 10, 14, 15, 19, 25, 31}), frozenset({34, 37, 41, 10, 14, 15, 19, 20, 25})]",6,"[[np.int64(36), 20], [20, 17], [39, 19], [17, 31], [31, 20]]","[[17, 15, 19], [17, 23, 19], [21, 15, 19], [21, 17, 17], [17, 17, 21], [17, 21, 17]]","[{16}, {26}, {24}, {35}, {16}, {26}]"
"[frozenset({np.int64(34), 37, 9, 45, 13, np.int64(18), 19, 27, 30}), frozenset({34, 37, 8, 45, 13, 18, 19, 27, 30}), frozenset({34, 37, 8, 45, 13, 18, 19, 25, 27}), frozenset({34, 37, 45, 13, 18, 19, 20, 25, 27}), frozenset({34, 37, 13, 45, 46, 18, 19, 20, 25}), frozenset({34, 37, 45, 13, 46, 17, 18, 19, 25})]",6,"[[9, 8], [30, 25], [8, 20], [27, 46], [20, 17]]","[[17, 19, 21], [19, 17, 21], [19, 17, 15], [17, 19, 15], [15, 19, 17], [21, 17, 17]]","[{21}, {20}, {35}, {36}, {26}, {35}]"
"[frozenset({np.int64(36), np.int64(39), np.int64(8), np.int64(10), np.int64(42), np.int64(15), np.int64(21), np.int64(24), np.int64(27)}), frozenset({39, 8, 42, 10, 15, 21, 24, 27, 30}), frozenset({34, 39, 8, 10, 42, 15, 21, 27, 30}), frozenset({34, 39, 8, 42, 15, 16, 21, 27, 30}), frozenset({34, 39, 8, 42, 15, 16, 26, 27, 30})]",5,"[[np.int64(36), 30], [24, 34], [10, 16], [21, 26]]","[[19, 17, 23], [19, 25, 17], [19, 15, 19], [17, 25, 19], [23, 17, 19]]","[{16}, {31}, {16, 24, 31}, {31}, {24}]"
"[frozenset({np.int64(34), np.int64(37), np.int64(10), np.int64(42), np.int64(44), np.int64(45), np.int64(14), np.int64(15), np.int64(20)}), frozenset({34, 37, 10, 44, 45, 14, 15, 20, 26}), frozenset({34, 37, 10, 44, 45, 14, 15, 25, 26}), frozenset({34, 37, 10, 45, 14, 15, 19, 25, 26}), frozenset({34, 37, 10, 45, 14, 15, 19, 25, 30}), frozenset({34, 37, 10, 45, 14, 15, 25, 27, 30}), frozenset({34, 37, 10, 45, 14, 15, 24, 25, 27}), frozenset({34, 37, 10, 42, 45, 14, 15, 24, 25}), frozenset({34, 37, 10, 42, 45, 14, 15, 25, 31})]",9,"[[np.int64(42), 26], [20, 25], [44, 19], [26, 30], [19, 27], [30, 24], [27, 42], [24, 31]]","[[17, 21, 19], [19, 21, 17], [19, 15, 17], [19, 17, 15], [17, 17, 21], [19, 15, 21], [19, 21, 15], [17, 21, 17], [17, 15, 19]]","[{26, 21, 30}, {30}, {24}, {35}, {16}, {16}, {36}, {26}, {16}]"
"[frozenset({np.int64(34), np.int64(37), np.int64(10), np.int64(11), np.int64(45), np.int64(13), np.int64(18), np.int64(19), np.int64(25)}), frozenset({34, 37, 10, 11, 45, 18, 19, 25, 30}), frozenset({34, 37, 9, 10, 45, 18, 19, 25, 30}), frozenset({34, 37, 9, 10, 45, 18, 19, 21, 25}), frozenset({34, 37, 41, 10, 45, 18, 19, 21, 25}), frozenset({34, 37, 41, 10, 45, 16, 18, 19, 25}), frozenset({32, 34, 37, 10, 45, 16, 18, 19, 25}), frozenset({32, 34, 37, 10, 45, 16, 18, 19, 30}), frozenset({32, 34, 37, 10, 45, 14, 18, 19, 30})]",9,"[[np.int64(13), 30], [11, 9], [30, 21], [9, 41], [21, 16], [41, 32], [25, 30], [16, 14]]","[[19, 17, 15], [17, 17, 21], [15, 19, 21], [21, 19, 15], [21, 17, 17], [15, 19, 17], [17, 19, 15], [17, 19, 21], [19, 17, 21]]","[{35}, {16}, {17}, {35}, {35}, {26}, {36}, {21}, {16, 20, 21}]"
"[frozenset({np.int64(34), np.int64(37), np.int64(10), np.int64(45), np.int64(14), np.int64(13), np.int64(15), np.int64(25), np.int64(28)}), frozenset({34, 37, 10, 45, 14, 15, 25, 28, 30}), frozenset({34, 37, 10, 45, 14, 15, 25, 27, 30}), frozenset({34, 37, 10, 45, 14, 15, 24, 25, 27}), frozenset({34, 37, 10, 42, 45, 14, 15, 24, 25}), frozenset({34, 37, 10, 42, 44, 45, 14, 15, 25}), frozenset({34, 37, 10, 44, 45, 14, 15, 25, 26}), frozenset({34, 37, 10, 44, 45, 14, 15, 20, 26})]",8,"[[np.int64(13), 30], [28, 27], [30, 24], [27, 42], [24, 44], [42, 26], [25, 20]]","[[19, 17, 15], [17, 17, 21], [19, 15, 21], [19, 21, 15], [17, 21, 17], [17, 15, 19], [19, 15, 17], [19, 21, 17]]","[{35}, {16}, {16}, {36}, {26}, {16, 24, 26}, {24}, {30}]"
"[frozenset({np.int64(34), np.int64(37), np.int64(9), np.int64(10), np.int64(45), np.int64(18), np.int64(19), np.int64(25), np.int64(30)}), frozenset({34, 37, 10, 45, 14, 18, 19, 25, 30}), frozenset({34, 37, 10, 45, 14, 18, 19, 25, 27}), frozenset({34, 37, 10, 45, 18, 19, 25, 27, 29}), frozenset({34, 37, 41, 10, 45, 18, 19, 25, 29}), frozenset({34, 37, 41, 10, 45, 18, 19, 21, 25}), frozenset({34, 37, 9, 10, 45, 18, 19, 21, 25})]",7,"[[np.int64(9), 14], [30, 27], [14, 29], [27, 41], [29, 21], [41, 9]]","[[15, 19, 21], [17, 17, 21], [19, 17, 15], [17, 19, 15], [15, 19, 17], [21, 17, 17], [21, 19, 15]]","[{17}, {16}, {16, 35, 36}, {36}, {26}, {35}, {35}]"
"[frozenset({np.int64(32), np.int64(34), np.int64(8), np.int64(40), np.int64(10), np.int64(15), np.int64(18), np.int64(25), np.int64(31)}), frozenset({32, 34, 8, 40, 10, 15, 18, 20, 31}), frozenset({34, 36, 8, 40, 10, 15, 18, 20, 31}), frozenset({34, 36, 8, 40, 10, 15, 18, 25, 31}), frozenset({34, 36, 7, 40, 10, 15, 18, 25, 31}), frozenset({34, 7, 40, 10, 15, 18, 22, 25, 31})]",6,"[[np.int64(25), 20], [32, 36], [20, 25], [8, 7], [36, 22]]","[[19, 15, 17], [19, 21, 17], [17, 21, 19], [17, 15, 19], [15, 17, 19], [21, 17, 17]]","[{24}, {30}, {21}, {16}, {17}, {24}]"
"[frozenset({np.int64(32), np.int64(34), np.int64(8), np.int64(40), np.int64(12), np.int64(45), np.int64(21), np.int64(25), np.int64(31)}), frozenset({32, 34, 8, 12, 45, 21, 23, 25, 31}), frozenset({32, 34, 8, 12, 45, 21, 23, 25, 30}), frozenset({32, 34, 37, 8, 12, 45, 21, 25, 30}), frozenset({32, 34, 37, 8, 12, 45, 16, 21, 25})]",5,"[[np.int64(40), 23], [31, 30], [23, 37], [30, 16]]","[[19, 15, 17], [19, 17, 15], [17, 17, 23], [19, 15, 23], [19, 21, 15]]","[{24}, {35}, {13}, {13}, {36}]"
"[frozenset({np.int64(32), np.int64(37), np.int64(7), np.int64(40), np.int64(16), np.int64(18), np.int64(20), np.int64(25), np.int64(28)}), frozenset({37, 7, 40, 42, 16, 18, 20, 25, 28}), frozenset({37, 7, 40, 42, 18, 20, 21, 25, 28}), frozenset({37, 7, 40, 10, 18, 20, 21, 25, 28}), frozenset({36, 37, 7, 40, 10, 18, 20, 25, 28})]",5,"[[np.int64(32), 42], [16, 21], [42, 10], [21, 36]]","[[17, 19, 15], [15, 19, 17], [23, 17, 17], [23, 19, 15], [15, 19, 21]]","[{36}, {26}, {29}, {29}, {17}]"
"[frozenset({np.int64(34), np.int64(37), np.int64(40), np.int64(10), np.int64(11), np.int64(15), np.int64(20), np.int64(22), np.int64(26)}), frozenset({34, 37, 40, 10, 11, 15, 22, 25, 26}), frozenset({34, 37, 40, 10, 11, 15, 22, 25, 30}), frozenset({34, 37, 7, 40, 10, 15, 22, 25, 30}), frozenset({34, 37, 7, 40, 10, 15, 21, 22, 25}), frozenset({34, 37, 7, 40, 10, 15, 20, 22, 25})]",6,"[[np.int64(20), 25], [26, 30], [11, 7], [30, 21], [21, 20]]","[[19, 21, 17], [19, 15, 17], [19, 15, 21], [17, 17, 21], [21, 17, 17], [17, 21, 17]]","[{30}, {24}, {16}, {17}, {24}, {36}]"
"[frozenset({np.int64(34), np.int64(37), np.int64(40), np.int64(10), np.int64(11), np.int64(15), np.int64(18), np.int64(20), np.int64(22)}), frozenset({34, 36, 37, 40, 10, 11, 15, 18, 20}), frozenset({34, 36, 37, 40, 10, 11, 15, 18, 25}), frozenset({34, 36, 37, 40, 9, 10, 15, 18, 25}), frozenset({34, 37, 40, 9, 10, 15, 18, 21, 25}), frozenset({34, 37, 40, 10, 46, 15, 18, 21, 25}), frozenset({34, 37, 40, 10, 46, 15, 18, 20, 25}), frozenset({32, 34, 37, 40, 10, 15, 18, 20, 25}), frozenset({32, 34, 37, 40, 10, 15, 18, 25, 31})]",9,"[[np.int64(22), 36], [20, 25], [11, 9], [36, 21], [9, 46], [21, 20], [46, 32], [20, 31]]","[[19, 21, 17], [17, 21, 19], [17, 15, 19], [15, 17, 19], [21, 17, 17], [21, 15, 19], [15, 21, 19], [17, 21, 17], [19, 15, 17]]","[{36, 21, 30}, {21}, {16}, {17}, {24}, {24}, {26}, {36}, {24}]"
"[frozenset({np.int64(34), np.int64(7), np.int64(40), np.int64(10), np.int64(42), np.int64(15), np.int64(18), np.int64(25), np.int64(31)}), frozenset({34, 8, 40, 10, 42, 15, 18, 25, 31}), frozenset({32, 34, 8, 40, 10, 15, 18, 25, 31}), frozenset({32, 34, 8, 40, 10, 15, 18, 20, 31}), frozenset({34, 36, 8, 40, 10, 15, 18, 20, 31})]",5,"[[np.int64(7), 8], [42, 32], [25, 20], [32, 36]]","[[15, 17, 19], [17, 15, 19], [19, 15, 17], [19, 21, 17], [17, 21, 19]]","[{17}, {16}, {24}, {30}, {21}]"
"[frozenset({np.int64(34), np.int64(37), np.int64(10), np.int64(45), np.int64(46), np.int64(17), np.int64(18), np.int64(19), np.int64(25)}), frozenset({34, 37, 10, 45, 46, 16, 18, 19, 25}), frozenset({32, 34, 37, 10, 45, 16, 18, 19, 25}), frozenset({32, 34, 37, 10, 45, 14, 18, 19, 25}), frozenset({34, 37, 10, 45, 14, 18, 19, 25, 30}), frozenset({34, 37, 9, 10, 45, 18, 19, 25, 30}), frozenset({34, 37, 9, 10, 45, 18, 19, 25, 26})]",7,"[[np.int64(17), 16], [46, 32], [16, 14], [32, 30], [14, 9], [30, 26]]","[[21, 17, 17], [15, 19, 17], [17, 19, 15], [19, 17, 15], [17, 17, 21], [15, 19, 21], [21, 19, 15]]","[{35}, {26}, {36}, {16, 35, 36}, {16}, {17}, {35}]"
"[frozenset({np.int64(34), np.int64(37), np.int64(41), np.int64(10), np.int64(12), np.int64(15), np.int64(18), np.int64(25), np.int64(28)}), frozenset({34, 37, 41, 10, 15, 17, 18, 25, 28}), frozenset({34, 37, 41, 10, 44, 15, 17, 18, 25}), frozenset({34, 37, 41, 10, 44, 15, 18, 20, 25}), frozenset({34, 37, 41, 10, 14, 15, 18, 20, 25}), frozenset({34, 35, 37, 41, 10, 14, 15, 18, 25}), frozenset({34, 35, 37, 41, 10, 12, 15, 18, 25}), frozenset({34, 35, 37, 41, 10, 12, 15, 18, 21})]",8,"[[np.int64(12), 17], [28, 44], [17, 20], [44, 14], [20, 35], [14, 12], [25, 21]]","[[15, 19, 17], [21, 17, 17], [21, 15, 19], [15, 21, 19], [17, 21, 17], [17, 15, 19], [15, 17, 19], [21, 17, 19]]","[{17, 26, 35}, {35}, {24}, {26}, {26}, {16}, {17}, {20}]"
"[frozenset({np.int64(34), np.int64(35), np.int64(37), np.int64(40), np.int64(10), np.int64(12), np.int64(46), np.int64(18), np.int64(25)}), frozenset({34, 37, 40, 10, 12, 46, 18, 21, 25}), frozenset({34, 37, 40, 10, 12, 46, 18, 20, 25}), frozenset({34, 37, 40, 10, 12, 18, 20, 25, 27}), frozenset({34, 37, 40, 10, 12, 18, 21, 25, 27}), frozenset({34, 35, 37, 40, 10, 12, 18, 25, 27})]",6,"[[np.int64(35), 21], [21, 20], [46, 27], [20, 21], [21, 35]]","[[15, 17, 19], [23, 17, 19], [15, 21, 19], [17, 21, 17], [21, 17, 17], [17, 17, 21]]","[{17}, {24}, {26}, {36}, {24}, {17}]"
"[frozenset({np.int64(37), np.int64(10), np.int64(12), np.int64(45), np.int64(18), np.int64(25), np.int64(27), np.int64(28), np.int64(29)}), frozenset({37, 10, 42, 12, 45, 18, 25, 28, 29}), frozenset({37, 42, 10, 12, 45, 44, 18, 25, 29}), frozenset({37, 10, 42, 12, 44, 45, 18, 21, 29}), frozenset({37, 42, 10, 12, 45, 18, 21, 28, 29})]",5,"[[np.int64(27), 42], [28, 44], [25, 21], [44, 28]]","[[17, 19, 15], [15, 19, 17], [15, 17, 19], [21, 17, 19], [21, 19, 17]]","[{36}, {26}, {17}, {20}, {30}]"
"[frozenset({np.int64(34), np.int64(37), np.int64(9), np.int64(10), np.int64(45), np.int64(18), np.int64(19), np.int64(25), np.int64(26)}), frozenset({34, 37, 9, 10, 45, 18, 19, 25, 30}), frozenset({34, 37, 10, 45, 14, 18, 19, 25, 30}), frozenset({34, 37, 10, 45, 14, 18, 19, 25, 27}), frozenset({34, 37, 10, 45, 18, 19, 25, 27, 29}), frozenset({34, 37, 41, 10, 45, 18, 19, 25, 29}), frozenset({34, 37, 41, 10, 45, 18, 19, 21, 25})]",7,"[[np.int64(26), 30], [9, 14], [30, 27], [14, 29], [27, 41], [29, 21]]","[[21, 19, 15], [15, 19, 21], [17, 17, 21], [19, 17, 15], [17, 19, 15], [15, 19, 17], [21, 17, 17]]","[{35}, {17}, {16}, {16, 35, 36}, {36}, {26}, {35}]"
"[frozenset({np.int64(34), np.int64(37), np.int64(41), np.int64(10), np.int64(12), np.int64(18), np.int64(25), np.int64(29), np.int64(31)}), frozenset({34, 37, 41, 10, 12, 18, 25, 28, 29}), frozenset({34, 37, 41, 10, 12, 18, 25, 28, 31}), frozenset({34, 37, 41, 10, 12, 18, 21, 25, 28}), frozenset({34, 37, 39, 41, 10, 12, 18, 21, 25}), frozenset({34, 37, 39, 41, 10, 12, 18, 20, 25})]",6,"[[np.int64(31), 28], [29, 31], [31, 21], [28, 39], [21, 20]]","[[15, 17, 19], [15, 19, 17], [15, 19, 21], [23, 19, 17], [23, 17, 19], [15, 21, 19]]","[{17}, {26}, {17}, {35}, {24}, {26}]"
"[frozenset({np.int64(32), np.int64(34), np.int64(37), np.int64(40), np.int64(10), np.int64(12), np.int64(18), np.int64(20), np.int64(25)}), frozenset({34, 37, 40, 10, 42, 12, 18, 20, 25}), frozenset({34, 37, 40, 10, 42, 12, 18, 21, 25}), frozenset({34, 37, 40, 10, 42, 12, 18, 25, 31}), frozenset({34, 37, 40, 10, 12, 18, 22, 25, 31}), frozenset({34, 35, 37, 40, 10, 12, 18, 22, 25})]",6,"[[np.int64(32), 42], [20, 21], [21, 31], [42, 22], [31, 35]]","[[17, 21, 17], [15, 21, 19], [23, 17, 19], [15, 17, 19], [21, 17, 17], [17, 17, 21]]","[{36}, {26}, {24}, {17}, {24}, {17}]"
"[frozenset({np.int64(34), np.int64(37), np.int64(7), np.int64(10), np.int64(45), np.int64(15), np.int64(22), np.int64(24), np.int64(25)}), frozenset({34, 35, 37, 7, 10, 45, 15, 22, 25}), frozenset({34, 35, 37, 10, 11, 45, 15, 22, 25}), frozenset({34, 37, 10, 11, 45, 15, 20, 22, 25}), frozenset({34, 37, 10, 44, 45, 15, 20, 22, 25}), frozenset({34, 37, 10, 44, 45, 15, 17, 22, 25}), frozenset({34, 37, 10, 45, 15, 17, 19, 22, 25}), frozenset({34, 37, 10, 45, 15, 17, 19, 22, 30}), frozenset({34, 37, 7, 10, 45, 15, 19, 22, 30})]",9,"[[np.int64(24), 35], [7, 11], [35, 20], [11, 44], [20, 17], [44, 19], [25, 30], [17, 7]]","[[17, 19, 15], [17, 17, 21], [19, 15, 21], [19, 21, 15], [17, 21, 17], [19, 15, 17], [19, 17, 15], [19, 17, 21], [17, 19, 21]]","[{36}, {17}, {16}, {36}, {36}, {24}, {35}, {20}, {17, 20, 21}]"
"[frozenset({np.int64(34), np.int64(37), np.int64(10), np.int64(12), np.int64(44), np.int64(45), np.int64(18), np.int64(25), np.int64(30)}), frozenset({34, 37, 10, 12, 44, 45, 18, 21, 25}), frozenset({34, 37, 10, 12, 45, 18, 21, 25, 28}), frozenset({34, 37, 10, 12, 45, 18, 25, 28, 30}), frozenset({32, 34, 37, 10, 12, 45, 18, 25, 30}), frozenset({32, 34, 37, 10, 12, 45, 18, 24, 25}), frozenset({34, 37, 41, 10, 12, 45, 18, 24, 25}), frozenset({34, 37, 41, 10, 12, 45, 18, 21, 24}), frozenset({34, 37, 41, 10, 44, 45, 12, 18, 21})]",9,"[[np.int64(30), 21], [44, 28], [21, 30], [28, 32], [30, 24], [32, 41], [25, 21], [24, 44]]","[[15, 17, 19], [21, 17, 17], [21, 19, 15], [15, 19, 21], [17, 17, 21], [17, 19, 15], [15, 19, 17], [21, 19, 17], [21, 17, 19]]","[{17}, {24}, {35}, {17}, {17}, {36}, {26}, {30}, {24, 20, 30}]"
